practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
City Health Clinic,,"9 EARL GREY STREET, EDINBURGH",EH3 9BN,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Earl Grey Dental Practice,,"42 EARL GREY STREET, EDINBURGH",EH3 9BN,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Chalmers Dental Centre,,"3 CHALMERS STREET, EDINBURGH",EH3 9EW,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
126 Lauriston Place,,"EDINBURGH, NA",EH3 9HX,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
11 Gilmore Place,,"EDINBURGH, NA",EH3 9NE,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
89-95 Fountainbridge,,"EDINBURGH, NA",EH3 9PU,Edinburgh & Lothians (EH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Ferryburn Dental Care,,"FERRYBURN HOUSE 23A ROSEBERY AVE, SOUTH QUEENSFERRY",EH309JG,Edinburgh & Lothians (EH30),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
1 Bellstane,,"SOUTH QUEENSFERRY, NA",EH309PU,Edinburgh & Lothians (EH30),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
11 Roseberry Place,,"GULLANE, EAST LOTHIAN",EH312AN,Edinburgh & Lothians (EH31),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
27E Links Road,,"PORT SETON, EAST LOTHIAN",EH320DU,Edinburgh & Lothians (EH32),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
