"Dental_Practice_Code","address1","address2","address3","pc7","HB","HBQF","HSCP","HSCPQF","CA","CAQF","DataZone","DataZoneQF","Registrations","RegistrationsQF"
848,"DALRIADA DENTAL PRACTICE","CAMPBELTOWN DENTAL CENTRE,RALSTON RD","CAMPELTOWN","PA286LE","S08000022","","S37000004","","S12000035","","S01007337","","5202",""
852,"SMILE DENTAL CARE LINWOOD","64 BRIDGE STREET","LINWOOD, JOHNSTONE","PA3 3DR","S08000031","","S37000024","","S12000038","","S01012221","","4241",""
855,"OBAN DENTAL CARE","17 LOCHSIDE STREET","OBAN","PA344HP","S08000022","","S37000004","","S12000035","","S01007296","","5198",""
857,"OBAN DENTAL AND IMPLANT CENTRE","CAWDOR PL., SHORE ST.","OBAN","PA344LQ","S08000022","","S37000004","","S12000035","","S01007296","","6795",""
859,"PARKVIEW DENTAL SURGERY","59A PAISLEY ROAD","RENFREW","PA4 8LQ","S08000031","","S37000024","","S12000038","","S01012181","","5700",""
860,"THE RENFREW DENTAL CENTRE","8 HIGH STREET","RENFREW","PA4 8QR","S08000031","","S37000024","","S12000038","","S01012181","","7931",""
862,"JOHNSTONE DENTAL PRACTICE","10 WALKINSHAW STREET","JOHNSTONE","PA5 8AB","S08000031","","S37000024","","S12000038","","S01012048","","5517",""
863,"PENNEYS DENTAL SURGERY & IMPLANT CENTRE","8 LAIGHCARTSIDE STREET","JOHNSTONE","PA5 8BY","S08000031","","S37000024","","S12000038","","S01012048","","15181",""
864,"CHURCH STREET DENTAL PRACTICE","32 CHURCH STREET","JOHNSTONE","PA5 8DU","S08000031","","S37000024","","S12000038","","S01012045","","6932",""
866,"BRITE DENTAL-HOUSTON","HILLVIEW, NORTH STREET","HOUSTON","PA6 7HJ","S08000031","","S37000024","","S12000038","","S01012236","","1976",""
868,"SLOAN DENTAL","105 GREENOCK ROAD","BISHOPTON","PA7 5AX","S08000031","","S37000024","","S12000038","","S01012216","","4800",""
872,"MAINS DRIVE DENTAL PRACTICE","2E MAINS DRIVE","ERSKINE","PA8 7JQ","S08000031","","S37000024","","S12000038","","S01012197","","4429",""
873,"THE DENTAL CLINIC","ST BRENDANS HOSPITAL","CASTLEBAY BARRA","HS9 5XE","S08000028","","S37000031","","S12000013","","S01009014","","8",""
